"No","Paragraf","Elemen Ke-","Kode","Jenis Kesalahan","Asli","Perbaikan","Penjelasan"
"1","1","1","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Kwitansi","Kuitansi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"2","1","5","[KBBI-BTB]","[KBBI] Bentuk Takbaku","frekwensi","frekuensi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"3","1","7","[KBBI-BTB]","[KBBI] Bentuk Takbaku","kwalitas","kualitas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"4","1","9","[BTB01]","Bentuk Takbaku","kwantitas","kuantitas","Kata yang digunakan merupakan bentuk takbaku"
"5","1","11","[BTB01]","Bentuk Takbaku","inofatif,","inovatif,","Kata yang digunakan merupakan bentuk takbaku"
"6","1","13","[KBBI-BTB]","[KBBI] Bentuk Takbaku","sistim","sistem","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"7","1","14","[BTB01]","Bentuk Takbaku","kordinasi","koordinasi","Kata yang digunakan merupakan bentuk takbaku"
"8","1","18","[KBBI-BTB]","[KBBI] Bentuk Takbaku","legalisir","legalisasi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"9","1","20","[KBBI-BTB]","[KBBI] Bentuk Takbaku","koordinir","koordinasi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"10","1","23","[KBBI-BTB]","[KBBI] Bentuk Takbaku","netralisir","netralisasi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"11","1","26","[KBBI-BTB]","[KBBI] Bentuk Takbaku","propinsi.","provinsi.","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"12","1","28","[BTB01]","Bentuk Takbaku","kwarter","kuarter","Kata yang digunakan merupakan bentuk takbaku"
"13","1","35","[BTB01]","Bentuk Takbaku","faximile","faksimile","Kata yang digunakan merupakan bentuk takbaku"
"14","1","37","[BTB01]","Bentuk Takbaku","menstimulir","menstimulasi","Kata yang digunakan merupakan bentuk takbaku"
"15","1","40","[BTB01]","Bentuk Takbaku","minimalisir","minimalisasi","Kata yang digunakan merupakan bentuk takbaku"
"16","1","42","[BTB01]","Bentuk Takbaku","standarisasi","standardisasi","Kata yang digunakan merupakan bentuk takbaku"
"17","1","44","[KBBI-BTB]","[KBBI] Bentuk Takbaku","standard","standar","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"18","1","47","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Selebriti","Selebritas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"19","1","49","[KBBI-BTB]","[KBBI] Bentuk Takbaku","atlit","atlet","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"20","1","51","[KBBI-BTB]","[KBBI] Bentuk Takbaku","praktek","praktik","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"21","1","54","[KBBI-BTB]","[KBBI] Bentuk Takbaku","prosentase","persentase","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"22","1","56","[KBBI-BTB]","[KBBI] Bentuk Takbaku","prosen","persen","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"23","1","60","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Hirarki","Hierarki","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"24","1","61","[KBBI-BTB]","[KBBI] Bentuk Takbaku","karir","karier","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"25","1","63","[KBBI-BTB]","[KBBI] Bentuk Takbaku","otentik","autentik","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"26","1","67","[KBBI-BTB]","[KBBI] Bentuk Takbaku","teoritis","teoretis","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"27","1","70","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jenius","genius","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"28","1","73","[BTB01]","Bentuk Takbaku","managemen","manajemen","Kata yang digunakan merupakan bentuk takbaku"
"29","1","74","[KBBI-BTB]","[KBBI] Bentuk Takbaku","otopsi,","autopsi,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"30","1","80","[KBBI-BTB]","[KBBI] Bentuk Takbaku","otodidak.","autodidak.","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"31","1","81","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Automatis,","Otomatis,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"32","1","83","[BTB01]","Bentuk Takbaku","autonomi,","otonomi,","Kata yang digunakan merupakan bentuk takbaku"
"33","1","87","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jender,","gender,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"34","1","88","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jadual","jadwal","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
